236.54,17676,-1196,-2020,5919,-1174,-1174
236.54,17352,256,-3700,6960,46,46
236.79,17992,-512,-2036,-1411,402,402
236.96,17144,-412,1108,506,-2012,-2012
236.79,17692,-1464,-884,-94,2742,2742
236.45,18568,-2236,-1336,-6419,2101,2101
236.88,16460,-1200,1436,-3826,-735,-735
236.71,17104,-1368,216,-1835,2510,2510
236.96,17236,-1064,-1204,49,-1543,-1543
236.37,17672,-1236,-1232,-214,472,472
236.37,17196,-2188,-376,-1564,-6,-6
236.62,15652,-2856,-980,5450,-142,-142
236.20,19428,-276,716,-4964,-2045,-2045
236.62,18172,-8,-3044,1019,-1575,-1575
236.62,17272,-240,-148,-6780,1772,1772
236.54,17808,-348,-1764,-6570,-930,-930
236.62,16984,144,-1736,-5162,-768,-768
236.45,18280,-1832,-2352,-5723,797,797
235.94,17788,-2300,-2412,-5047,641,641
235.94,17248,-500,-1848,-3366,-32,-32
236.11,18004,-260,-824,-4454,3183,3183
236.03,17868,-1848,-1828,-6737,889,889
236.03,19208,-700,-1076,-5219,144,144
236.11,16956,-1336,-636,-6584,-47,-47
235.86,17336,-1020,80,-6809,2176,2176
236.45,17460,-868,-1212,-3325,-87,-87
236.11,17064,28,-1404,-1006,-1551,-1551
236.03,16652,-376,-476,-1648,738,738
236.20,17896,-152,-988,-6383,527,527
236.03,16424,-872,196,-4860,-669,-669
236.54,17268,-380,644,-2625,647,647
236.45,19176,-1200,-820,-2144,-2913,-2913
236.28,16984,-612,-2332,187,-369,-369
236.20,17384,-172,-984,-3700,280,280
236.79,19676,-1164,-1332,-4698,-267,-267
236.54,17160,-984,-1076,-3155,-2540,-2540
236.11,17308,-1320,-1932,1366,81,81
235.86,19920,-880,-1292,2988,-1427,-1427
236.45,18008,-508,-1576,460,1176,1176
236.71,17416,-2444,-1280,-4436,1727,1727
235.77,18588,1040,-1808,-1100,-1610,-1610
236.11,17768,-1004,-1480,2246,2728,2728
236.28,18232,-616,-240,3604,730,730
236.28,17924,-3060,-516,3822,-536,-536
235.94,17056,-1276,-1656,4583,-2235,-2235
236.54,17012,-1916,2068,-12016,2450,2450
236.03,16328,2980,288,-7957,-2538,-2538
236.03,17192,2244,-772,1166,178,178
236.03,17368,2372,-3756,8854,-1477,-1477
236.45,17156,2732,-3112,-2735,421,421
236.20,16988,516,-1152,-9486,1135,1135
236.20,18128,1888,2104,-2103,108,108
236.37,16308,640,1056,-2030,-295,-295
236.20,17424,1288,68,-6027,-986,-986
236.45,17856,92,764,-1660,-508,-508
236.11,18860,2812,-1012,-4183,-1461,-1461
236.45,17468,2556,-1832,-4618,-1693,-1693
236.54,18040,6520,-3280,-359,-190,-190
236.45,17540,3068,-3472,202,929,929
236.11,17748,4284,-2852,-2478,793,793
236.37,16628,3580,-1892,-693,1135,1135
236.62,16040,3248,252,-2303,-770,-770
236.71,17452,3048,732,2251,2471,2471
236.20,16600,3880,760,4705,-624,-624
236.11,17872,2944,-1888,2328,585,585
235.86,17396,3040,-2596,-577,-431,-431
236.20,17336,4056,-276,-1275,-419,-419
